game_id,HomeTeam,HomeTeamName,AwayTeam,AwayTeamName,HomeScore,AwayScore,Home_xG,Away_xG,Home_shots,Away_shots,Home_corner,Away_corner,Home_PK_Goal,Away_PK_Goal,Home_PK_shots,Away_PK_shots,Home_ToP,HomeResult,AwayResult
game_2023_94,TUC,Tucson Torpedoes FC,ALB,Albuquerque Scorpions FC,1,3,2.52,2,13,15,3,4,0,0,1,0,0.53,L,W
game_2023_341,MOB,Mobile Mavericks FC,ALB,Albuquerque Scorpions FC,3,1,0.46,0.99,11,8,3,6,0,0,0,0,0.56,W,L
game_2023_442,CHM,Charleston Mariners FC,ALB,Albuquerque Scorpions FC,0,1,1.62,1.16,16,13,1,7,0,0,0,0,0.52,L,W
game_2023_50,SAS,Saskatoon Spartans FC,ALB,Albuquerque Scorpions FC,2,1,1.53,0.55,20,2,6,1,0,0,0,0,0.49,W,L
game_2023_389,FOR,Fort Collins Foxes FC,ALB,Albuquerque Scorpions FC,0,2,2.15,1.13,18,13,2,0,0,0,0,0,0.71,L,W
game_2023_27,FAR,Fargo Falcons FC,ALB,Albuquerque Scorpions FC,3,2,2.26,1.16,17,10,8,6,0,0,1,0,0.69,W,L
game_2023_187,PRO,Providence Pioneers FC,ALB,Albuquerque Scorpions FC,4,1,2.59,2.23,21,16,1,5,0,0,1,0,0.52,W,L
game_2023_366,TAC,Tacoma Thunderbolts FC,ALB,Albuquerque Scorpions FC,3,3,0.36,1.21,6,7,3,5,0,0,0,0,0.56,D,D
game_2023_258,REN,Reno Rapids FC,ALB,Albuquerque Scorpions FC,0,1,0.8,0.8,22,6,6,6,0,0,0,0,0.57,L,W
game_2023_470,BOI,Boise Thunderhawks FC,ALB,Albuquerque Scorpions FC,0,3,1.37,0.97,15,21,7,7,0,0,1,0,0.48,L,W
game_2023_162,WIC,Wichita Warriors FC,ALB,Albuquerque Scorpions FC,2,2,1.36,2.24,22,23,0,5,0,0,0,0,0.6,D,D
game_2023_241,OAK,Oakland Olympians FC,ALB,Albuquerque Scorpions FC,2,2,1.6,1.43,12,19,7,5,0,0,0,0,0.47,D,D
game_2023_308,BAK,Bakersfield Bandits FC,ALB,Albuquerque Scorpions FC,3,3,1.53,1.18,11,13,5,2,0,0,0,0,0.48,D,D
game_2023_204,SFS,Sioux Falls Sabers FC,ALB,Albuquerque Scorpions FC,2,0,1.52,0.53,12,10,2,3,0,0,0,0,0.54,W,L
